,time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
0,59873.26277907995,39.25,0.43,22.75,0.43,33.75,1.3,0
1,250.0,39.25,0.43,23.0,1.502217960556055,33.0,1.620690389942681,0
2,500.0,39.25,0.43,23.25,0.43,33.0,1.620690389942681,0
3,750.0,39.5,0.5,23.0,0.71,33.0,1.620690389942681,0
4,1000.0,39.5,0.5,24.0,1.502217960556055,33.0,1.620690389942681,0
5,1250.0,39.25,0.43,24.0,1.502217960556055,33.0,1.620690389942681,0
6,1500.0,39.25,0.43,24.0,1.502217960556055,33.0,1.620690389942681,0
7,1750.0,39.0,1.4591417477568165,23.75,0.43,33.0,1.620690389942681,0
8,2000.0,39.5,0.5,24.0,1.502217960556055,33.0,1.620690389942681,0
9,2250.0,39.5,0.5,23.0,1.502217960556055,33.0,1.620690389942681,0
10,2500.0,39.5,0.5,23.25,0.43,33.0,1.620690389942681,0
11,2750.0,39.5,0.5,23.5,0.5,32.75,0.43,0
12,3000.0,39.5,0.5,23.75,0.43,32.5,0.5,0
13,3250.0,39.67,0.47,23.75,0.43,33.0,1.620690389942681,0
14,3500.0,39.5,0.5,24.0,1.502217960556055,33.0,1.620690389942681,0
15,3750.0,39.5,0.5,23.25,0.43,33.0,1.620690389942681,0
16,4000.0,39.5,0.5,22.5,0.5,33.0,1.620690389942681,0
17,4250.0,39.5,0.5,22.0,0.71,33.0,1.620690389942681,0
18,4500.0,40.25,0.83,21.0,1.502217960556055,33.0,1.620690389942681,0
19,4750.0,40.5,0.5,18.67,1.7,33.0,1.620690389942681,0
20,5000.0,40.67,0.47,15.5,0.87,33.0,1.620690389942681,0
21,5250.0,40.5,0.5,15.0,1.502217960556055,33.0,1.620690389942681,0
22,5500.0,40.5,0.5,15.0,1.502217960556055,33.0,1.620690389942681,0
23,5750.0,40.33,0.47,16.0,1.502217960556055,33.0,1.620690389942681,0
24,6000.0,40.5,0.5,16.0,0.71,33.0,1.620690389942681,0
25,6250.0,40.5,0.5,16.5,0.87,33.0,1.620690389942681,0
26,6500.0,40.5,0.5,17.5,0.87,33.0,1.620690389942681,0
27,6750.0,40.5,0.5,19.75,1.09,33.75,1.3,0
28,7000.0,40.75,0.83,21.0,1.502217960556055,33.0,1.620690389942681,0
29,7250.0,40.75,0.83,21.0,1.502217960556055,33.0,1.620690389942681,0
30,7500.0,41.0,1.0,20.75,0.43,33.75,1.3,0
31,7750.0,41.0,1.0,19.67,0.47,34.0,1.41,0
32,8000.0,40.75,0.83,19.25,0.43,33.75,1.3,0
33,8250.0,40.67,0.47,19.75,0.43,34.0,1.41,0
